origem,processos
TURMA RECURSAL CÍVEL DOS JUIZ. ESPECIAIS DE MANAUS,7
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,5
TURMA REC. DOS JUIZ.ESP.CIV. CRIMINAIS DE MANAUS  ,1
