origem,processos
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,36
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,7
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,5
