"uf","HELIO HIRASAWA","ALBERTO CAVALCANTE BRAGA","UNIAO","ROBERTO MAIA","PROCURADORIA-GERAL FEDERAL","PROCURADORIA-GERAL DA FAZENDA NACIONAL","CAIXA ECONOMICA FEDERAL - CEF","ALBERTO CAVALCANTE BRAGA ","PROCURADORIA-GERAL FEDERAL ","ADVOGADO-GERAL DA UNIAO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","OUTROS"
"AC","0","0","17","0","3","0","3","0","0","11","1","716"
"AL","0","0","178","0","28","4","44","0","0","112","525","3103"
"AM","0","0","1005","0","461","1","14","0","0","977","33","6035"
"AP","0","0","15","0","1","0","8","0","0","14","0","752"
"BA","0","3","323","0","59","7","135","3","0","118","142","9923"
"CE","0","0","407","0","67","5","117","0","0","201","81","4471"
"DF","0","8","1571","0","98","11","359","0","0","1131","224","19843"
"ES","0","0","186","0","42","6","13","0","0","76","282","6254"
"GO","0","1","114","0","51","1","35","0","0","33","60","11408"
"MA","0","0","60","0","3","0","10","0","0","38","5","2003"
"MG","0","5","1328","0","307","16","419","0","0","193","913","45235"
"MS","0","0","33","0","5","0","2","0","0","27","140","7554"
"MT","0","0","81","0","36","4","7","0","0","22","28","3075"
"PA","0","1","75","0","37","0","19","0","0","43","14","3484"
"PB","0","0","116","0","91","1","49","0","0","71","231","5506"
"PE","0","0","558","0","103","6","81","0","0","301","5474","19872"
"PI","0","0","50","0","6","0","8","0","0","34","37","1896"
"PR","0","0","2065","2","404","36","632","0","0","555","2675","37164"
"RJ","0","0","11364","0","394","22","160","0","0","10594","6958","86605"
"RN","0","0","340","0","97","1","77","0","0","223","325","11942"
"RO","0","0","49","0","9","1","5","0","0","27","18","1710"
"RR","0","0","72","0","3","0","0","0","0","73","0","791"
"RS","0","1","4198","0","641","74","819","0","0","2273","4095","86707"
"SC","0","0","1907","0","308","39","821","0","0","846","2042","22952"
"SE","0","0","125","0","39","0","11","0","0","73","566","4188"
"SP","0","0","5509","1","584","213","453","0","0","620","4342","131413"
"TO","0","0","10","0","0","0","0","0","0","7","2","691"
