"uf","HELIO HIRASAWA","ALBERTO CAVALCANTE BRAGA","UNIAO","ROBERTO MAIA","PROCURADORIA-GERAL FEDERAL","PROCURADORIA-GERAL DA FAZENDA NACIONAL","CAIXA ECONOMICA FEDERAL - CEF","ALBERTO CAVALCANTE BRAGA ","PROCURADORIA-GERAL FEDERAL ","ADVOGADO-GERAL DA UNIAO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","OUTROS"
"AC","0","0","179","0","2","0","18","0","0","179","5","1294"
"AL","0","0","419","0","11","3","1606","0","0","388","75","6156"
"AM","0","1","24","0","12","1","10","0","0","15","16","1433"
"AP","0","2","18","0","0","0","6","0","0","19","2","190"
"BA","0","18","201","0","28","1","317","0","0","84","113","4664"
"CE","0","0","905","0","41","6","2853","0","0","751","79","12011"
"DF","0","16","1405","0","27","1","917","0","0","1356","224","14017"
"ES","0","0","73","0","2","0","43","0","0","16","17","2607"
"GO","0","4","153","0","14","0","71","0","0","85","43","4707"
"MA","0","2","34","0","3","0","54","0","0","17","1","1272"
"MG","0","52","661","0","68","5","820","0","0","219","496","28302"
"MS","0","0","14","0","3","1","9","0","0","9","54","2974"
"MT","0","1","60","0","109","0","59","0","0","58","12","2411"
"PA","0","6","37","0","28","1","71","0","0","25","21","1685"
"PB","0","0","293","0","106","4","770","0","0","307","199","4844"
"PE","0","0","927","0","52","13","2000","0","0","682","222","11123"
"PI","0","0","47","0","40","0","56","0","0","61","24","1383"
"PR","0","0","831","9","27","13","380","0","0","134","984","12046"
"RJ","0","0","2452","0","109","8","1484","0","0","2059","484","34616"
"RN","0","0","281","0","54","11","760","0","0","232","169","4909"
"RO","0","0","668","0","1","0","8","0","0","653","8","1502"
"RR","0","1","16","0","0","0","2","0","0","16","1","361"
"RS","0","0","1469","13","131","19","333","0","0","651","1556","59401"
"SC","0","0","581","2","27","2","154","0","0","176","1348","12437"
"SE","0","0","118","0","29","0","120","0","0","106","97","2072"
"SP","0","0","1216","0","15","63","466","0","0","429","2847","66709"
"TO","0","0","14","0","2","0","2","0","0","14","12","606"
