"uf","HELIO HIRASAWA","ALBERTO CAVALCANTE BRAGA","UNIAO","ROBERTO MAIA","PROCURADORIA-GERAL FEDERAL","PROCURADORIA-GERAL DA FAZENDA NACIONAL","CAIXA ECONOMICA FEDERAL - CEF","ALBERTO CAVALCANTE BRAGA ","PROCURADORIA-GERAL FEDERAL ","ADVOGADO-GERAL DA UNIAO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","OUTROS"
"AC","0","15","56","0","0","0","28","0","0","56","1","789"
"AL","0","4","81","0","1","1","421","0","0","114","51","2500"
"AM","0","13","127","0","0","2","43","0","0","132","57","2520"
"AP","0","13","20","0","0","1","45","0","0","20","0","436"
"BA","0","430","340","0","1","2","1692","0","0","183","103","10134"
"CE","0","0","162","0","15","5","430","0","0","141","130","4684"
"DF","0","321","2495","0","5","3","1193","0","0","2412","213","19752"
"ES","0","0","57","0","0","0","186","0","0","46","34","3580"
"GO","0","98","128","0","1","1","223","0","0","68","99","3962"
"MA","0","86","34","0","1","0","294","0","0","31","22","1981"
"MG","0","1950","1086","1","12","0","11093","0","0","546","730","53223"
"MS","0","0","10","0","0","1","31","0","0","8","19","2346"
"MT","0","47","91","0","0","0","114","0","0","98","15","3972"
"PA","0","122","222","1","2","0","352","0","0","254","22","3542"
"PB","0","1","114","0","11","0","205","0","0","167","60","2155"
"PE","0","2","211","0","8","7","221","0","0","144","85","4979"
"PI","0","31","46","0","0","0","78","0","0","52","13","1032"
"PR","0","3","1008","572","17","2","2442","0","0","247","1144","20855"
"RJ","0","5","912","5","7","1","3380","0","0","736","1535","34291"
"RN","0","1","143","0","23","0","359","0","0","151","38","4316"
"RO","0","25","47","0","0","1","51","0","0","58","2","1010"
"RR","0","6","33","0","2","0","24","0","0","41","1","297"
"RS","0","3","1142","692","70","14","2635","0","0","519","3741","59236"
"SC","0","2","724","380","21","4","1442","0","0","324","2809","23969"
"SE","0","0","25","0","7","0","10","0","0","41","15","1984"
"SP","0","7","1114","1","4","10","4198","0","0","267","1691","73677"
"TO","0","28","11","0","0","1","59","0","0","7","1","407"
