"uf","HELIO HIRASAWA","ALBERTO CAVALCANTE BRAGA","UNIAO","ROBERTO MAIA","PROCURADORIA-GERAL FEDERAL","PROCURADORIA-GERAL DA FAZENDA NACIONAL","CAIXA ECONOMICA FEDERAL - CEF","ALBERTO CAVALCANTE BRAGA ","PROCURADORIA-GERAL FEDERAL ","ADVOGADO-GERAL DA UNIAO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","OUTROS"
"AC","0","7","16","0","0","0","35","0","0","17","0","265"
"AL","0","0","114","1","0","1","359","0","0","160","16","2196"
"AM","0","12","160","0","0","0","58","0","0","192","67","1739"
"AP","0","23","20","0","0","0","64","0","0","23","0","446"
"BA","0","531","82","0","0","0","1530","0","0","44","29","6127"
"CE","0","0","155","2","3","2","490","0","0","146","16","3828"
"DF","0","399","833","0","1","3","1440","0","0","812","61","14376"
"ES","0","0","43","0","0","0","233","0","0","27","36","2239"
"GO","0","51","52","0","0","2","164","0","0","14","49","2239"
"MA","0","91","18","0","1","1","410","0","0","18","2","1836"
"MG","0","5717","374","1","7","2","16415","0","0","214","236","55629"
"MS","0","0","13","0","0","0","27","0","0","15","3","1279"
"MT","0","45","28","0","0","0","166","0","0","25","3","1427"
"PA","0","82","71","0","2","0","333","0","0","105","10","2734"
"PB","0","0","155","0","3","2","359","0","0","224","27","2624"
"PE","0","0","112","0","4","1","192","0","0","92","20","2642"
"PI","0","41","10","0","0","0","128","0","0","9","3","836"
"PR","0","1","494","1891","4","46","7262","0","0","112","397","30159"
"RJ","0","1","652","4","1","5","4047","0","0","473","1671","29260"
"RN","0","0","162","0","6","0","564","0","0","184","20","5584"
"RO","0","6","32","0","0","0","21","0","0","31","8","499"
"RR","0","12","28","0","2","0","19","0","0","33","1","184"
"RS","0","3","404","2709","12","3","8798","0","0","204","1951","44658"
"SC","0","1","333","995","0","3","3564","0","0","95","1874","22129"
"SE","0","0","40","1","5","2","9","0","0","47","7","744"
"SP","0","3","628","6","3","26","4305","0","0","178","1037","60806"
"TO","0","2","2","0","0","0","21","0","0","1","4","183"
