"uf","HELIO HIRASAWA","ALBERTO CAVALCANTE BRAGA","UNIAO","ROBERTO MAIA","PROCURADORIA-GERAL FEDERAL","PROCURADORIA-GERAL DA FAZENDA NACIONAL","CAIXA ECONOMICA FEDERAL - CEF","ALBERTO CAVALCANTE BRAGA ","PROCURADORIA-GERAL FEDERAL ","ADVOGADO-GERAL DA UNIAO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","OUTROS"
"AC","0","1","6","0","5","3","5","0","0","3","7","711"
"AL","0","6","1385","0","10","1","471","0","0","1350","71","5155"
"AM","0","0","177","0","90","0","9","0","0","159","16","2765"
"AP","0","0","7","0","0","0","5","0","0","7","8","277"
"BA","0","34","174","0","21","8","316","0","0","54","77","4333"
"CE","0","5","339","0","67","13","708","0","0","201","65","5425"
"DF","0","58","1465","0","13","1","836","0","0","1406","202","16494"
"ES","0","1","165","0","5","1","5","0","0","127","19","2578"
"GO","0","3","77","0","13","2","59","0","0","28","62","6376"
"MA","0","0","15","0","22","0","58","0","0","9","9","1408"
"MG","0","70","738","0","115","5","825","0","0","196","502","35728"
"MS","0","0","28","0","11","0","6","0","0","21","23","5028"
"MT","0","2","25","0","30","0","38","0","0","14","20","2976"
"PA","0","9","29","0","18","0","73","0","0","19","11","2064"
"PB","0","7","116","0","108","4","291","0","0","92","171","3423"
"PE","0","4","394","0","54","6","537","0","0","246","510","7188"
"PI","0","1","41","0","66","1","39","0","0","37","33","1482"
"PR","0","4","873","4","71","16","2971","0","0","179","3633","28776"
"RJ","0","1","9106","0","95","6","72","0","0","8794","654","69792"
"RN","0","1","155","0","39","2","241","0","0","107","211","3448"
"RO","0","1","24","0","1","0","5","0","0","13","10","1142"
"RR","0","0","18","0","6","0","1","0","0","23","0","461"
"RS","0","5","1700","7","187","22","889","0","0","665","2091","56946"
"SC","0","1","896","3","48","14","683","0","0","301","2657","19244"
"SE","0","2","60","0","10","0","64","0","0","42","51","1858"
"SP","0","0","2620","0","35","85","900","0","0","371","2293","72946"
"TO","0","1","6","0","1","0","2","0","0","4","5","415"
