origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,395
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 5º REGIÃO,19
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,13
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,11
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,3
