"area","processos"
"Processual penal","6456"
"Do trabalho","59756"
"Internacional","15"
"Eleitoral e processo eleitoral","315"
"Previdenciário","5085"
"Processual civil e do trabalho","18177"
"Da criança e do adolescente","97"
"Tributário","35630"
"Do consumidor","5914"
"Registros públicos","43"
"Penal","2898"
"Civil","10116"
"Administrativo/público (outras)","32165"
"Marítimo","0"
