"area","processos"
"Processual penal","9489"
"Do trabalho","30689"
"Internacional","32"
"Eleitoral e processo eleitoral","109"
"Marítimo","8"
"Previdenciário","43317"
"Processual civil e do trabalho","35189"
"Da criança e do adolescente","178"
"Tributário","56015"
"Do consumidor","13198"
"Registros públicos","64"
"Penal","4808"
"Civil","52738"
"Administrativo/público (outras)","72010"
