"uf","processos"
AC,7385
AL,38433
AM,32650
AP,3648
BA,87033
CE,64154
DF,182640
ES,36987
GO,52378
MA,16774
MG,401827
MS,37306
MT,24961
PA,31099
PB,45662
PE,86469
PI,13806
PR,223804
RJ,446863
RN,69065
RO,12198
RR,7040
RS,591107
SC,186287
SE,23608
SP,818087
TO,6059
