"uf","processos"
AC,288
AL,1256
AM,3774
AP,127
BA,4098
CE,1980
DF,16239
ES,2635
GO,3004
MA,1011
MG,22601
MS,2708
MT,1609
PA,2495
PB,1162
PE,4297
PI,1678
PR,10881
RJ,23080
RN,3311
RO,874
RR,637
RS,30897
SC,7685
SE,1659
SP,44668
TO,346
