"uf","processos"
AC,945
AL,3173
AM,2894
AP,535
BA,12901
CE,5567
DF,26470
ES,3903
GO,4580
MA,2452
MG,68727
MS,2415
MT,4338
PA,4519
PB,2713
PE,5657
PI,1252
PR,26290
RJ,40872
RN,5031
RO,1194
RR,404
RS,68053
SC,29675
SE,2082
SP,80969
TO,514
