origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,108
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,18
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,1
