COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,201
DIREITO DO TRABALHO,465
DIREITO INTERNACIONAL,2
DIREITO ELEITORAL E PROCESSO ELEITORAL,20
DIREITO PREVIDENCIÁRIO,18
DIREITO PROCESSUAL CIVIL E DO TRABALHO,361
DIREITO DA CRIANÇA E DO ADOLESCENTE,4
DIREITO TRIBUTÁRIO,271
DIREITO DO CONSUMIDOR,44
DIREITO PENAL,264
DIREITO CIVIL,115
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1079
