COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,6456
DIREITO DO TRABALHO,59756
DIREITO INTERNACIONAL,15
DIREITO ELEITORAL E PROCESSO ELEITORAL,315
DIREITO PREVIDENCIÁRIO,5085
DIREITO PROCESSUAL CIVIL E DO TRABALHO,18177
DIREITO DA CRIANÇA E DO ADOLESCENTE,97
DIREITO TRIBUTÁRIO,35630
DIREITO DO CONSUMIDOR,5914
REGISTROS PÚBLICOS,43
DIREITO PENAL,2898
DIREITO CIVIL,10116
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,32165
