Origem,Num. de Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,744
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,72
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,31
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,4
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,3
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,2
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,2
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,1
