origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,154
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.DISTRITO FEDERAL ,67
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,23
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,15
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,5
TURMA REC. DOS JUIZADOS ESPEC. FEDERAIS DO DF,2
