origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,469
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,43
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.ALAGOAS,4
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,2
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,1
