"area","processos"
"Processual penal","1595"
"Do trabalho","8089"
"Internacional","10"
"Eleitoral e processo eleitoral","103"
"Previdenciário","3828"
"Processual civil e do trabalho","4858"
"Da criança e do adolescente","8"
"Tributário","6550"
"Do consumidor","3763"
"Registros públicos","9"
"Penal","448"
"Civil","1937"
"Administrativo/público (outras)","5669"
"Marítimo","0"
