"area","processos"
"Processual penal","350"
"Do trabalho","1523"
"Internacional","8"
"Eleitoral e processo eleitoral","29"
"Previdenciário","133"
"Processual civil e do trabalho","2012"
"Da criança e do adolescente","4"
"Tributário","1537"
"Do consumidor","108"
"Registros públicos","4"
"Penal","258"
"Civil","515"
"Administrativo/público (outras)","8723"
"Marítimo","0"
