"area","processos"
"Processual penal","1875"
"Do trabalho","1573"
"Internacional","10"
"Eleitoral e processo eleitoral","60"
"Previdenciário","674"
"Processual civil e do trabalho","3616"
"Da criança e do adolescente","15"
"Tributário","2687"
"Do consumidor","769"
"Registros públicos","157"
"Penal","623"
"Civil","6409"
"Administrativo/público (outras)","5092"
"Marítimo","0"
