Origem,Num. de Processos
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,165
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,159
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,149
CONSELHO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS E CRIMINAIS DO ESTADO DO RIO DE JANEIRO.,129
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,17
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 2º REGIÃO,14
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,2
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. RIO DE JANEIRO,1
