"uf","processos"
AC,265
AL,2196
AM,1739
AP,446
BA,6127
CE,3828
DF,14376
ES,2239
GO,2239
MA,1836
MG,55629
MS,1279
MT,1427
PA,2734
PB,2624
PE,2642
PI,836
PR,30159
RJ,29260
RN,5584
RO,499
RR,184
RS,44658
SC,22129
SE,744
SP,60806
TO,183
