"uf","processos"
AC,426
AL,1979
AM,5268
AP,192
BA,11929
CE,3961
DF,15668
ES,5070
GO,5950
MA,1619
MG,35004
MS,4675
MT,2374
PA,4361
PB,4664
PE,4897
PI,1535
PR,16681
RJ,43154
RN,3970
RO,1772
RR,1168
RS,49518
SC,13939
SE,3246
SP,82898
TO,750
