"uf","processos"
AC,789
AL,2500
AM,2520
AP,436
BA,10134
CE,4684
DF,19752
ES,3580
GO,3962
MA,1981
MG,53223
MS,2346
MT,3972
PA,3542
PB,2155
PE,4979
PI,1032
PR,20855
RJ,34291
RN,4316
RO,1010
RR,297
RS,59236
SC,23969
SE,1984
SP,73677
TO,407
