"litigante","uf","processos"
ADVOGADO-GERAL DA UNIÃO,AC,11
ADVOGADO-GERAL DA UNIÃO,AL,112
ADVOGADO-GERAL DA UNIÃO,AM,977
ADVOGADO-GERAL DA UNIÃO,AP,14
ADVOGADO-GERAL DA UNIÃO,BA,118
ADVOGADO-GERAL DA UNIÃO,CE,195
ADVOGADO-GERAL DA UNIÃO,CE,3
ADVOGADO-GERAL DA UNIÃO,CE,2
ADVOGADO-GERAL DA UNIÃO,CE,1
ADVOGADO-GERAL DA UNIÃO,DF,1130
ADVOGADO-GERAL DA UNIÃO,DF,1
ADVOGADO-GERAL DA UNIÃO,ES,76
ADVOGADO-GERAL DA UNIÃO,GO,33
ADVOGADO-GERAL DA UNIÃO,MA,38
ADVOGADO-GERAL DA UNIÃO,MG,193
ADVOGADO-GERAL DA UNIÃO,MS,27
ADVOGADO-GERAL DA UNIÃO,MT,22
ADVOGADO-GERAL DA UNIÃO,PA,43
ADVOGADO-GERAL DA UNIÃO,PB,71
ADVOGADO-GERAL DA UNIÃO,PE,301
ADVOGADO-GERAL DA UNIÃO,PI,34
ADVOGADO-GERAL DA UNIÃO,PR,554
ADVOGADO-GERAL DA UNIÃO,PR,1
ADVOGADO-GERAL DA UNIÃO,RJ,10593
ADVOGADO-GERAL DA UNIÃO,RJ,1
ADVOGADO-GERAL DA UNIÃO,RN,223
ADVOGADO-GERAL DA UNIÃO,RO,27
ADVOGADO-GERAL DA UNIÃO,RR,73
ADVOGADO-GERAL DA UNIÃO,RS,2271
ADVOGADO-GERAL DA UNIÃO,RS,2
ADVOGADO-GERAL DA UNIÃO,SC,843
ADVOGADO-GERAL DA UNIÃO,SC,3
ADVOGADO-GERAL DA UNIÃO,SE,72
ADVOGADO-GERAL DA UNIÃO,SE,1
ADVOGADO-GERAL DA UNIÃO,SP,604
ADVOGADO-GERAL DA UNIÃO,SP,4
ADVOGADO-GERAL DA UNIÃO,SP,4
ADVOGADO-GERAL DA UNIÃO,SP,4
ADVOGADO-GERAL DA UNIÃO,SP,2
ADVOGADO-GERAL DA UNIÃO,SP,2
ADVOGADO-GERAL DA UNIÃO,TO,7
ALBERTO CAVALCANTE BRAGA,BA,3
ALBERTO CAVALCANTE BRAGA ,BA,3
ALBERTO CAVALCANTE BRAGA,DF,8
ALBERTO CAVALCANTE BRAGA,GO,1
ALBERTO CAVALCANTE BRAGA,MG,5
ALBERTO CAVALCANTE BRAGA,PA,1
ALBERTO CAVALCANTE BRAGA,RS,1
CAIXA ECONÔMICA FEDERAL - CEF,AC,3
CAIXA ECONÔMICA FEDERAL - CEF,AL,44
CAIXA ECONÔMICA FEDERAL - CEF,AM,14
CAIXA ECONÔMICA FEDERAL - CEF,AP,8
CAIXA ECONÔMICA FEDERAL - CEF,BA,135
CAIXA ECONÔMICA FEDERAL - CEF,CE,117
CAIXA ECONÔMICA FEDERAL - CEF,DF,352
CAIXA ECONÔMICA FEDERAL - CEF,DF,7
CAIXA ECONÔMICA FEDERAL - CEF,ES,13
CAIXA ECONÔMICA FEDERAL - CEF,GO,35
CAIXA ECONÔMICA FEDERAL - CEF,MA,9
CAIXA ECONÔMICA FEDERAL - CEF,MA,1
CAIXA ECONÔMICA FEDERAL - CEF,MG,413
CAIXA ECONÔMICA FEDERAL - CEF,MG,6
CAIXA ECONÔMICA FEDERAL - CEF,MS,2
CAIXA ECONÔMICA FEDERAL - CEF,MT,7
CAIXA ECONÔMICA FEDERAL - CEF,PA,19
CAIXA ECONÔMICA FEDERAL - CEF,PB,49
CAIXA ECONÔMICA FEDERAL - CEF,PE,81
CAIXA ECONÔMICA FEDERAL - CEF,PI,8
CAIXA ECONÔMICA FEDERAL - CEF,PR,627
CAIXA ECONÔMICA FEDERAL - CEF,PR,5
CAIXA ECONÔMICA FEDERAL - CEF,RJ,158
CAIXA ECONÔMICA FEDERAL - CEF,RJ,2
CAIXA ECONÔMICA FEDERAL - CEF,RN,77
CAIXA ECONÔMICA FEDERAL - CEF,RO,5
CAIXA ECONÔMICA FEDERAL - CEF,RS,814
CAIXA ECONÔMICA FEDERAL - CEF,RS,5
CAIXA ECONÔMICA FEDERAL - CEF,SC,816
CAIXA ECONÔMICA FEDERAL - CEF,SC,5
CAIXA ECONÔMICA FEDERAL - CEF,SE,11
CAIXA ECONÔMICA FEDERAL - CEF,SP,422
CAIXA ECONÔMICA FEDERAL - CEF,SP,28
CAIXA ECONOMICA FEDERAL - CEF,SP,3
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AC,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AL,521
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AL,4
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AM,32
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AM,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,BA,134
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,BA,8
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,CE,78
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,CE,3
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,DF,220
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,DF,4
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,ES,280
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,ES,2
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,GO,58
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,GO,2
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MA,5
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MG,889
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MG,24
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MS,140
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MT,26
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MT,2
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PA,13
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PA,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PB,220
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PB,11
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PE,5459
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PE,15
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PI,36
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PI,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PR,2638
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PR,37
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RJ,6891
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RJ,66
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RJ,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RN,312
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RN,13
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RO,16
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RO,2
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RS,4008
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RS,87
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SC,1997
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SC,45
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SE,560
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SE,6
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SP,4204
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SP,136
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SP,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SP,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,TO,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AL,3
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AL,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AM,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,BA,7
PROCURADORIA-GERAL DA FAZENDA NACIONAL,CE,5
PROCURADORIA-GERAL DA FAZENDA NACIONAL,DF,9
PROCURADORIA-GERAL DA FAZENDA NACIONAL,DF,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,ES,6
PROCURADORIA-GERAL DA FAZENDA NACIONAL,GO,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MG,13
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MG,3
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MT,4
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PB,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PE,5
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PE,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PR,33
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PR,3
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RJ,21
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RJ,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RN,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RO,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RS,69
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RS,5
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SC,34
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SC,5
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SP,195
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SP,18
PROCURADORIA-GERAL FEDERAL,AC,3
PROCURADORIA-GERAL FEDERAL,AL,28
PROCURADORIA-GERAL FEDERAL,AM,458
PROCURADORIA-GERAL FEDERAL,AM,3
PROCURADORIA-GERAL FEDERAL,AP,1
PROCURADORIA-GERAL FEDERAL,BA,59
PROCURADORIA-GERAL FEDERAL,CE,65
PROCURADORIA-GERAL FEDERAL,CE,2
PROCURADORIA-GERAL FEDERAL,DF,93
PROCURADORIA-GERAL FEDERAL,DF,4
PROCURADORIA-GERAL FEDERAL,DF,1
PROCURADORIA-GERAL FEDERAL,ES,42
PROCURADORIA-GERAL FEDERAL,GO,51
PROCURADORIA-GERAL FEDERAL,MA,3
PROCURADORIA-GERAL FEDERAL,MG,302
PROCURADORIA-GERAL FEDERAL,MG,5
PROCURADORIA-GERAL FEDERAL,MS,5
PROCURADORIA-GERAL FEDERAL,MT,35
PROCURADORIA-GERAL FEDERAL,MT,1
PROCURADORIA-GERAL FEDERAL,PA,37
PROCURADORIA-GERAL FEDERAL,PB,91
PROCURADORIA-GERAL FEDERAL,PE,100
PROCURADORIA-GERAL FEDERAL,PE,2
PROCURADORIA-GERAL FEDERAL,PE,1
PROCURADORIA-GERAL FEDERAL,PI,6
PROCURADORIA-GERAL FEDERAL,PR,402
PROCURADORIA-GERAL FEDERAL,PR,2
PROCURADORIA-GERAL FEDERAL,RJ,387
PROCURADORIA-GERAL FEDERAL,RJ,7
PROCURADORIA-GERAL FEDERAL,RN,97
PROCURADORIA-GERAL FEDERAL,RO,9
PROCURADORIA-GERAL FEDERAL,RR,3
PROCURADORIA-GERAL FEDERAL,RS,631
PROCURADORIA-GERAL FEDERAL,RS,10
PROCURADORIA-GERAL FEDERAL,SC,295
PROCURADORIA-GERAL FEDERAL,SC,12
PROCURADORIA-GERAL FEDERAL,SC,1
PROCURADORIA-GERAL FEDERAL,SE,30
PROCURADORIA-GERAL FEDERAL,SE,9
PROCURADORIA-GERAL FEDERAL,SP,556
PROCURADORIA-GERAL FEDERAL,SP,27
PROCURADORIA-GERAL FEDERAL,SP,1
ROBERTO MAIA,PR,2
ROBERTO MAIA,SP,1
UNIÃO,AC,17
UNIÃO,AL,176
UNIÃO,AL,1
UNIÃO,AL,1
UNIÃO,AM,1003
UNIÃO,AM,1
UNIÃO,AM,1
UNIÃO,AP,15
UNIÃO,BA,322
UNIÃO,BA,1
UNIÃO,CE,406
UNIÃO,CE,1
UNIÃO,DF,1564
UNIÃO,DF,3
UNIÃO,DF,3
UNIÃO,DF,1
UNIÃO,ES,186
UNIÃO,GO,114
UNIÃO,MA,60
UNIÃO,MG,1322
UNIÃO,MG,5
UNIÃO,MG,1
UNIÃO,MS,33
UNIÃO,MT,81
UNIÃO,PA,74
UNIÃO,PA,1
UNIÃO,PB,116
UNIÃO,PE,557
UNIÃO,PE,1
UNIÃO,PI,50
UNIÃO,PR,2062
UNIÃO,PR,2
UNIÃO,PR,1
UNIÃO,RJ,11358
UNIÃO,RJ,6
UNIÃO,RN,339
UNIÃO,RN,1
UNIÃO,RO,49
UNIÃO,RR,71
UNIAO,RR,1
UNIÃO,RS,4192
UNIÃO,RS,4
UNIÃO,RS,1
UNIÃO,RS,1
UNIÃO,SC,1896
UNIÃO,SC,9
UNIÃO,SC,1
UNIÃO,SC,1
UNIÃO,SE,123
UNIÃO,SE,1
UNIÃO,SE,1
UNIÃO,SP,5465
UNIÃO,SP,21
UNIÃO,SP,12
UNIÃO,SP,9
UNIAO,SP,1
UNIÃO,SP,1
UNIÃO,TO,10
