"litigante","uf","processos"
ADVOGADO-GERAL DA UNIÃO,AC,179
ADVOGADO-GERAL DA UNIÃO,AL,388
ADVOGADO-GERAL DA UNIÃO,AM,15
ADVOGADO-GERAL DA UNIÃO,AP,19
ADVOGADO-GERAL DA UNIÃO,BA,84
ADVOGADO-GERAL DA UNIÃO,CE,751
ADVOGADO-GERAL DA UNIÃO,DF,1356
ADVOGADO-GERAL DA UNIÃO,ES,16
ADVOGADO-GERAL DA UNIÃO,GO,83
ADVOGADO-GERAL DA UNIÃO,GO,2
ADVOGADO-GERAL DA UNIÃO,MA,17
ADVOGADO-GERAL DA UNIÃO,MG,219
ADVOGADO-GERAL DA UNIÃO,MS,9
ADVOGADO-GERAL DA UNIÃO,MT,58
ADVOGADO-GERAL DA UNIÃO,PA,25
ADVOGADO-GERAL DA UNIÃO,PB,307
ADVOGADO-GERAL DA UNIÃO,PE,682
ADVOGADO-GERAL DA UNIÃO,PI,61
ADVOGADO-GERAL DA UNIÃO,PR,131
ADVOGADO-GERAL DA UNIÃO,PR,3
ADVOGADO-GERAL DA UNIÃO,RJ,2059
ADVOGADO-GERAL DA UNIÃO,RN,232
ADVOGADO-GERAL DA UNIÃO,RO,653
ADVOGADO-GERAL DA UNIÃO,RR,16
ADVOGADO-GERAL DA UNIÃO,RS,650
ADVOGADO-GERAL DA UNIÃO,RS,1
ADVOGADO-GERAL DA UNIÃO,SC,176
ADVOGADO-GERAL DA UNIÃO,SE,106
ADVOGADO-GERAL DA UNIÃO,SP,424
ADVOGADO-GERAL DA UNIÃO,SP,2
ADVOGADO-GERAL DA UNIÃO,SP,1
ADVOGADO-GERAL DA UNIÃO,SP,1
ADVOGADO-GERAL DA UNIÃO,SP,1
ADVOGADO-GERAL DA UNIÃO,TO,14
ALBERTO CAVALCANTE BRAGA,AM,1
ALBERTO CAVALCANTE BRAGA,AP,2
ALBERTO CAVALCANTE BRAGA,BA,18
ALBERTO CAVALCANTE BRAGA,DF,16
ALBERTO CAVALCANTE BRAGA,GO,4
ALBERTO CAVALCANTE BRAGA,MA,2
ALBERTO CAVALCANTE BRAGA,MG,52
ALBERTO CAVALCANTE BRAGA,MT,1
ALBERTO CAVALCANTE BRAGA,PA,6
ALBERTO CAVALCANTE BRAGA,RR,1
CAIXA ECONÔMICA FEDERAL - CEF,AC,18
CAIXA ECONÔMICA FEDERAL - CEF,AL,1606
CAIXA ECONÔMICA FEDERAL - CEF,AM,10
CAIXA ECONÔMICA FEDERAL - CEF,AP,6
CAIXA ECONÔMICA FEDERAL - CEF,BA,317
CAIXA ECONÔMICA FEDERAL - CEF,CE,2853
CAIXA ECONÔMICA FEDERAL - CEF,DF,917
CAIXA ECONÔMICA FEDERAL - CEF,ES,43
CAIXA ECONÔMICA FEDERAL - CEF,GO,71
CAIXA ECONÔMICA FEDERAL - CEF,MA,54
CAIXA ECONÔMICA FEDERAL - CEF,MG,820
CAIXA ECONÔMICA FEDERAL - CEF,MS,9
CAIXA ECONÔMICA FEDERAL - CEF,MT,59
CAIXA ECONÔMICA FEDERAL - CEF,PA,71
CAIXA ECONÔMICA FEDERAL - CEF,PB,770
CAIXA ECONÔMICA FEDERAL - CEF,PE,2000
CAIXA ECONÔMICA FEDERAL - CEF,PI,56
CAIXA ECONÔMICA FEDERAL - CEF,PR,380
CAIXA ECONÔMICA FEDERAL - CEF,RJ,1484
CAIXA ECONÔMICA FEDERAL - CEF,RN,760
CAIXA ECONÔMICA FEDERAL - CEF,RO,8
CAIXA ECONÔMICA FEDERAL - CEF,RR,2
CAIXA ECONÔMICA FEDERAL - CEF,RS,333
CAIXA ECONÔMICA FEDERAL - CEF,SC,154
CAIXA ECONÔMICA FEDERAL - CEF,SE,120
CAIXA ECONÔMICA FEDERAL - CEF,SP,466
CAIXA ECONÔMICA FEDERAL - CEF,TO,2
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AC,5
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AL,75
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AM,16
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,AP,2
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,BA,113
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,CE,79
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,DF,224
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,ES,17
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,GO,43
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MA,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MG,495
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MG,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MS,54
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MT,12
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PA,21
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PB,199
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PE,222
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PI,24
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PR,984
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RJ,484
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RN,169
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RO,8
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RR,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RS,1556
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SC,1348
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SE,97
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SP,2846
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SP,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,TO,12
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AL,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AL,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AM,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,BA,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,CE,6
PROCURADORIA-GERAL DA FAZENDA NACIONAL,DF,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MG,4
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MG,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MS,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PA,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PB,4
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PE,13
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PR,12
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PR,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RJ,5
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RJ,3
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RN,11
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RS,16
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RS,3
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SC,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SC,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SP,61
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SP,2
PROCURADORIA-GERAL FEDERAL,AC,2
PROCURADORIA-GERAL FEDERAL,AL,11
PROCURADORIA-GERAL FEDERAL,AM,12
PROCURADORIA-GERAL FEDERAL,BA,28
PROCURADORIA-GERAL FEDERAL,CE,41
PROCURADORIA-GERAL FEDERAL,DF,27
PROCURADORIA-GERAL FEDERAL,ES,2
PROCURADORIA-GERAL FEDERAL,GO,14
PROCURADORIA-GERAL FEDERAL,MA,3
PROCURADORIA-GERAL FEDERAL,MG,68
PROCURADORIA-GERAL FEDERAL,MS,3
PROCURADORIA-GERAL FEDERAL,MT,107
PROCURADORIA-GERAL FEDERAL,MT,2
PROCURADORIA-GERAL FEDERAL,PA,27
PROCURADORIA-GERAL FEDERAL,PA,1
PROCURADORIA-GERAL FEDERAL,PB,105
PROCURADORIA-GERAL FEDERAL,PB,1
PROCURADORIA-GERAL FEDERAL,PE,51
PROCURADORIA-GERAL FEDERAL,PE,1
PROCURADORIA-GERAL FEDERAL,PI,40
PROCURADORIA-GERAL FEDERAL,PR,25
PROCURADORIA-GERAL FEDERAL,PR,2
PROCURADORIA-GERAL FEDERAL,RJ,109
PROCURADORIA-GERAL FEDERAL,RN,52
PROCURADORIA-GERAL FEDERAL,RN,2
PROCURADORIA-GERAL FEDERAL,RO,1
PROCURADORIA-GERAL FEDERAL,RS,128
PROCURADORIA-GERAL FEDERAL,RS,3
PROCURADORIA-GERAL FEDERAL,SC,27
PROCURADORIA-GERAL FEDERAL,SE,29
PROCURADORIA-GERAL FEDERAL,SP,13
PROCURADORIA-GERAL FEDERAL,SP,2
PROCURADORIA-GERAL FEDERAL,TO,2
ROBERTO MAIA,PR,9
ROBERTO MAIA,RS,13
ROBERTO MAIA,SC,2
UNIÃO,AC,179
UNIÃO,AL,419
UNIÃO,AM,24
UNIÃO,AP,18
UNIÃO,BA,201
UNIÃO,CE,905
UNIÃO,DF,1405
UNIÃO,ES,73
UNIÃO,GO,153
UNIÃO,MA,34
UNIÃO,MG,660
UNIÃO,MG,1
UNIÃO,MS,14
UNIÃO,MT,60
UNIÃO,PA,37
UNIÃO,PB,293
UNIÃO,PE,927
UNIÃO,PI,47
UNIÃO,PR,831
UNIÃO,RJ,2452
UNIÃO,RN,281
UNIÃO,RO,668
UNIÃO,RR,16
UNIÃO,RS,1469
UNIÃO,SC,581
UNIÃO,SE,118
UNIÃO,SP,1216
UNIÃO,TO,14
