"uf","processos"
AC,711
AL,5155
AM,2765
AP,277
BA,4333
CE,5425
DF,16494
ES,2578
GO,6376
MA,1408
MG,35728
MS,5028
MT,2976
PA,2064
PB,3423
PE,7188
PI,1482
PR,28776
RJ,69792
RN,3448
RO,1142
RR,461
RS,56946
SC,19244
SE,1858
SP,72946
TO,415
