"litigante","uf","processos"
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,CE,94
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,CE,2
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,DF,224
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,DF,10
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,DF,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,ES,135
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,ES,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,GO,24
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MA,3
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MG,762
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MG,2
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MS,36
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,MT,84
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PA,72
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PA,2
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PB,180
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PB,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PE,2212
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PE,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PI,14
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PR,1765
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,PR,14
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RJ,869
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RJ,7
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RN,69
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RO,9
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RO,2
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RS,4373
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,RS,20
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SC,1288
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SC,6
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SE,181
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SE,1
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SP,5031
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,SP,21
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,TO,9
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AC,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AL,32
PROCURADORIA-GERAL DA FAZENDA NACIONAL,AM,13
PROCURADORIA-GERAL DA FAZENDA NACIONAL,BA,61
PROCURADORIA-GERAL DA FAZENDA NACIONAL,CE,88
PROCURADORIA-GERAL DA FAZENDA NACIONAL,DF,237
PROCURADORIA-GERAL DA FAZENDA NACIONAL,ES,27
PROCURADORIA-GERAL DA FAZENDA NACIONAL,GO,38
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MA,10
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MG,344
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MG,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MS,10
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MS,2
PROCURADORIA-GERAL DA FAZENDA NACIONAL,MT,49
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PA,44
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PB,21
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PE,115
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PI,15
PROCURADORIA-GERAL DA FAZENDA NACIONAL,PR,591
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RJ,319
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RJ,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RN,26
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RO,9
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RR,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RS,1469
PROCURADORIA-GERAL DA FAZENDA NACIONAL,RS,12
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SC,583
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SC,1
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SE,26
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SP,2167
PROCURADORIA-GERAL DA FAZENDA NACIONAL,SP,8
PROCURADORIA-GERAL DA FAZENDA NACIONAL,TO,3
PROCURADORIA-GERAL FEDERAL,AC,1
PROCURADORIA-GERAL FEDERAL,AL,31
PROCURADORIA-GERAL FEDERAL,AM,20
PROCURADORIA-GERAL FEDERAL,BA,113
PROCURADORIA-GERAL FEDERAL,BA,1
PROCURADORIA-GERAL FEDERAL,CE,52
PROCURADORIA-GERAL FEDERAL,CE,1
PROCURADORIA-GERAL FEDERAL,DF,86
PROCURADORIA-GERAL FEDERAL,ES,27
PROCURADORIA-GERAL FEDERAL,GO,64
PROCURADORIA-GERAL FEDERAL,MA,13
PROCURADORIA-GERAL FEDERAL,MG,259
PROCURADORIA-GERAL FEDERAL,MG,6
PROCURADORIA-GERAL FEDERAL,MS,9
PROCURADORIA-GERAL FEDERAL,MT,31
PROCURADORIA-GERAL FEDERAL,PA,42
PROCURADORIA-GERAL FEDERAL,PB,66
PROCURADORIA-GERAL FEDERAL,PE,131
PROCURADORIA-GERAL FEDERAL,PE,1
PROCURADORIA-GERAL FEDERAL,PI,8
PROCURADORIA-GERAL FEDERAL,PR,304
PROCURADORIA-GERAL FEDERAL,PR,10
PROCURADORIA-GERAL FEDERAL,PR,2
PROCURADORIA-GERAL FEDERAL ,PR,1
PROCURADORIA-GERAL FEDERAL,RJ,432
PROCURADORIA-GERAL FEDERAL,RJ,4
PROCURADORIA-GERAL FEDERAL,RN,122
PROCURADORIA-GERAL FEDERAL,RO,13
PROCURADORIA-GERAL FEDERAL,RR,9
PROCURADORIA-GERAL FEDERAL,RS,717
PROCURADORIA-GERAL FEDERAL,RS,30
PROCURADORIA-GERAL FEDERAL,SC,243
PROCURADORIA-GERAL FEDERAL,SC,3
PROCURADORIA-GERAL FEDERAL,SE,22
PROCURADORIA-GERAL FEDERAL,SE,1
PROCURADORIA-GERAL FEDERAL,SP,296
PROCURADORIA-GERAL FEDERAL,SP,23
PROCURADORIA-GERAL FEDERAL,SP,1
PROCURADORIA-GERAL FEDERAL,TO,2
UNIÃO,AC,35
UNIÃO,AL,124
UNIÃO,AL,1
UNIÃO,AM,92
UNIÃO,AM,1
UNIÃO,AP,11
UNIÃO,AP,1
UNIÃO,BA,231
UNIÃO,CE,388
UNIÃO,DF,1589
UNIÃO,DF,19
UNIÃO,DF,2
UNIÃO,DF,2
UNIÃO,ES,194
UNIÃO,ES,1
UNIÃO,GO,75
UNIÃO,MA,60
UNIÃO,MG,1046
UNIÃO,MG,7
UNIAO,MG,1
UNIÃO,MS,26
UNIÃO,MT,95
UNIÃO,PA,83
UNIÃO,PA,1
UNIÃO,PA,1
UNIÃO,PB,171
UNIÃO,PE,508
UNIÃO,PI,65
UNIÃO,PI,3
UNIÃO,PR,1789
UNIÃO,PR,2
UNIÃO,PR,1
UNIÃO,RJ,3769
UNIÃO,RJ,4
UNIÃO,RJ,1
UNIÃO,RN,326
UNIÃO,RO,49
UNIÃO,RR,168
UNIÃO,RR,4
UNIÃO,RS,3853
UNIÃO,RS,7
UNIÃO,RS,6
UNIÃO,RS,1
UNIÃO,SC,1648
UNIÃO,SC,7
UNIÃO,SC,1
UNIAO,SC,1
UNIÃO,SC,1
UNIÃO,SE,118
UNIÃO,SE,2
UNIÃO,SP,4853
UNIÃO,SP,22
UNIÃO,SP,4
UNIÃO,SP,1
UNIÃO,SP,1
UNIAO,SP,1
UNIÃO,TO,13
