"uf","processos"
AC,653
AL,1675
AM,5417
AP,420
BA,19519
CE,3710
DF,24980
ES,5224
GO,7423
MA,2330
MG,51538
MS,6151
MT,2693
PA,4874
PB,5936
PE,11332
PI,1766
PR,25049
RJ,58692
RN,9215
RO,1949
RR,2431
RS,81794
SC,19318
SE,3530
SP,121193
TO,1063
