"uf","processos"
AC,269
AL,1061
AM,3734
AP,121
BA,3791
CE,1759
DF,13514
ES,2474
GO,2786
MA,955
MG,21874
MS,2658
MT,1434
PA,2392
PB,1021
PE,3861
PI,1646
PR,9740
RJ,21271
RN,3041
RO,809
RR,599
RS,28831
SC,6314
SE,1446
SP,42273
TO,322
