"litigante","uf","processos"
ADVOGADO-GERAL DA UNIÃO,AC,61
ADVOGADO-GERAL DA UNIÃO,AL,529
ADVOGADO-GERAL DA UNIÃO,AM,67
ADVOGADO-GERAL DA UNIÃO,AP,14
ADVOGADO-GERAL DA UNIÃO,BA,203
ADVOGADO-GERAL DA UNIÃO,BA,1
ADVOGADO-GERAL DA UNIÃO,CE,588
ADVOGADO-GERAL DA UNIÃO,DF,1491
ADVOGADO-GERAL DA UNIÃO,ES,61
ADVOGADO-GERAL DA UNIÃO,GO,292
ADVOGADO-GERAL DA UNIÃO,MA,51
ADVOGADO-GERAL DA UNIÃO,MG,438
ADVOGADO-GERAL DA UNIÃO,MS,30
ADVOGADO-GERAL DA UNIÃO,MT,47
ADVOGADO-GERAL DA UNIÃO,PA,93
ADVOGADO-GERAL DA UNIÃO,PB,326
ADVOGADO-GERAL DA UNIÃO,PE,600
ADVOGADO-GERAL DA UNIÃO,PI,39
ADVOGADO-GERAL DA UNIÃO,PR,332
ADVOGADO-GERAL DA UNIÃO,RJ,1113
ADVOGADO-GERAL DA UNIÃO,RN,331
ADVOGADO-GERAL DA UNIÃO,RO,144
ADVOGADO-GERAL DA UNIÃO,RR,14
ADVOGADO-GERAL DA UNIÃO,RS,951
ADVOGADO-GERAL DA UNIÃO,SC,344
ADVOGADO-GERAL DA UNIÃO,SE,146
ADVOGADO-GERAL DA UNIÃO,SP,1173
ADVOGADO-GERAL DA UNIÃO,SP,1
ADVOGADO-GERAL DA UNIÃO,TO,101
ALBERTO CAVALCANTE BRAGA,AC,12
ALBERTO CAVALCANTE BRAGA,AL,12
ALBERTO CAVALCANTE BRAGA,AM,3
ALBERTO CAVALCANTE BRAGA,AP,9
ALBERTO CAVALCANTE BRAGA,BA,136
ALBERTO CAVALCANTE BRAGA,DF,122
ALBERTO CAVALCANTE BRAGA,GO,72
ALBERTO CAVALCANTE BRAGA,MA,39
ALBERTO CAVALCANTE BRAGA,MG,715
ALBERTO CAVALCANTE BRAGA,MT,27
ALBERTO CAVALCANTE BRAGA,PA,53
ALBERTO CAVALCANTE BRAGA,PI,15
ALBERTO CAVALCANTE BRAGA,PR,3
ALBERTO CAVALCANTE BRAGA,RJ,2
ALBERTO CAVALCANTE BRAGA,RO,21
ALBERTO CAVALCANTE BRAGA,RR,18
ALBERTO CAVALCANTE BRAGA,RS,2
ALBERTO CAVALCANTE BRAGA,SP,9
ALBERTO CAVALCANTE BRAGA,TO,14
CAIXA ECONÔMICA FEDERAL - CEF,AC,68
CAIXA ECONÔMICA FEDERAL - CEF,AL,2659
CAIXA ECONÔMICA FEDERAL - CEF,AM,24
CAIXA ECONÔMICA FEDERAL - CEF,AP,58
CAIXA ECONÔMICA FEDERAL - CEF,BA,699
CAIXA ECONÔMICA FEDERAL - CEF,CE,3081
CAIXA ECONÔMICA FEDERAL - CEF,DF,2688
CAIXA ECONÔMICA FEDERAL - CEF,ES,163
CAIXA ECONÔMICA FEDERAL - CEF,GO,324
CAIXA ECONÔMICA FEDERAL - CEF,MA,171
CAIXA ECONÔMICA FEDERAL - CEF,MG,3415
CAIXA ECONÔMICA FEDERAL - CEF,MS,18
CAIXA ECONÔMICA FEDERAL - CEF,MT,126
CAIXA ECONÔMICA FEDERAL - CEF,PA,221
CAIXA ECONÔMICA FEDERAL - CEF,PB,889
CAIXA ECONÔMICA FEDERAL - CEF,PE,1907
CAIXA ECONÔMICA FEDERAL - CEF,PI,103
CAIXA ECONÔMICA FEDERAL - CEF,PR,509
CAIXA ECONÔMICA FEDERAL - CEF,RJ,2311
CAIXA ECONÔMICA FEDERAL - CEF,RN,1170
CAIXA ECONÔMICA FEDERAL - CEF,RO,58
CAIXA ECONÔMICA FEDERAL - CEF,RR,52
CAIXA ECONÔMICA FEDERAL - CEF,RS,801
CAIXA ECONÔMICA FEDERAL - CEF,SC,357
CAIXA ECONÔMICA FEDERAL - CEF,SE,41
CAIXA ECONÔMICA FEDERAL - CEF,SP,1764
CAIXA ECONÔMICA FEDERAL - CEF,SP,1
CAIXA ECONÔMICA FEDERAL - CEF,TO,43
