"uf","processos"
AC,405
AL,4542
AM,2123
AP,377
BA,5413
CE,10246
DF,16481
ES,2630
GO,2132
MA,1137
MG,36700
MS,1495
MT,1007
PA,2687
PB,9141
PE,6364
PI,819
PR,24705
RJ,26271
RN,16073
RO,456
RR,358
RS,37780
SC,20695
SE,1300
SP,67062
TO,126
