"uf","processos"
AC,341
AL,2847
AM,2230
AP,577
BA,8371
CE,4642
DF,18090
ES,2578
GO,2573
MA,2388
MG,78974
MS,1337
MT,1697
PA,3347
PB,3394
PE,3063
PI,1030
PR,40366
RJ,36114
RN,6520
RO,599
RR,279
RS,58742
SC,28994
SE,855
SP,66992
TO,213
