UF,QTDE
AC,164
AL,915
AM,1339
AP,186
BA,1913
CE,1049
DF,4582
ES,1358
GO,2472
MA,404
MG,9096
MS,1711
MT,770
PA,604
PB,1074
PE,6605
PI,344
PR,9048
RJ,23783
RN,1976
RO,380
RR,184
RS,21229
SC,6047
SE,1074
SP,29830
TO,125
