uf,processos
AC,166
AL,1967
AM,511
AP,77
BA,993
CE,1386
DF,4044
ES,579
GO,1390
MA,303
MG,7035
MS,1062
MT,645
PA,441
PB,896
PE,1860
PI,344
PR,8257
RJ,15344
RN,828
RO,262
RR,64
RS,13535
SC,5009
SE,425
SP,17192
TO,112
