UF,QTDE
AC,464
AL,1676
AM,285
AP,53
BA,1076
CE,3438
DF,3728
ES,536
GO,1074
MA,245
MG,5740
MS,613
MT,590
PA,406
PB,1329
PE,2982
PI,362
PR,2901
RJ,7781
RN,1321
RO,812
RR,62
RS,13905
SC,2741
SE,547
SP,14302
TO,159
