UF,QTDE
AC,177
AL,401
AM,918
AP,95
BA,4018
CE,874
DF,6013
ES,1181
GO,1495
MA,479
MG,9582
MS,1322
MT,625
PA,838
PB,1083
PE,3358
PI,336
PR,6230
RJ,12938
RN,1719
RO,377
RR,287
RS,20406
SC,5007
SE,791
SP,26249
TO,140
