"uf","processos"
AC,751
AL,3994
AM,8526
AP,790
BA,10714
CE,5349
DF,23248
ES,6859
GO,11703
MA,2119
MG,48417
MS,7761
MT,3253
PA,3673
PB,6065
PE,26395
PI,2031
PR,43533
RJ,116097
RN,13005
RO,1819
RR,939
RS,98808
SC,28915
SE,5002
SP,143135
TO,710
