UF,QTDE
AC,249
AL,762
AM,601
AP,127
BA,2790
CE,1206
DF,6054
ES,895
GO,986
MA,526
MG,15472
MS,546
MT,1013
PA,1058
PB,617
PE,1190
PI,257
PR,5970
RJ,9209
RN,1035
RO,295
RR,93
RS,15061
SC,6961
SE,444
SP,17589
TO,138
