UF,QTDE
AC,105
AL,448
AM,986
AP,45
BA,3070
CE,933
DF,3596
ES,1084
GO,1259
MA,314
MG,7162
MS,1016
MT,518
PA,579
PB,1009
PE,1212
PI,293
PR,3941
RJ,9293
RN,955
RO,361
RR,233
RS,11283
SC,3116
SE,733
SP,18017
TO,119
