UF,QTDE
AC,525
AL,3068
AM,360
AP,120
BA,2557
CE,4014
DF,7393
ES,1013
GO,1427
MA,504
MG,9477
MS,698
MT,870
PA,783
PB,1767
PE,3772
PI,307
PR,4664
RJ,10344
RN,1911
RO,410
RR,111
RS,20641
SC,6901
SE,750
SP,22787
TO,254
