"uf","processos"
AC,1677
AL,8658
AM,1512
AP,237
BA,5426
CE,16646
DF,17987
ES,2758
GO,5077
MA,1383
MG,30631
MS,3064
MT,2710
PA,1874
PB,6523
PE,15019
PI,1611
PR,14424
RJ,41212
RN,6416
RO,2840
RR,397
RS,63573
SC,14727
SE,2542
SP,71745
TO,650
