"uf","ano","pib"
"CE","2006","46303057.507"
"RN","2006","20554621.384"
"PB","2006","19951314.802"
"PE","2006","55493342.313"
"AL","2006","15748037.077"
"SE","2006","15124269.359"
"BA","2006","96520700.754"
"MG","2006","214753976.962"
"ES","2006","52777543.943"
"RJ","2006","275327129.392"
"SP","2006","802654613.772"
"PR","2006","136614637.946"
"SC","2006","93146754.36"
"RS","2006","156826932.244"
"MS","2006","24341235.557"
"MT","2006","35257614.186"
"GO","2006","57057071.699"
"DF","2006","89628553.247"
"RO","2007","15002734.093"
"AC","2007","5760501.031"
"AM","2007","42023218.414"
"RR","2007","4168598.561"
"PA","2007","49507143.969"
"AP","2007","6022131.519"
"TO","2007","11094063.357"
"MA","2007","31606026.369"
"PI","2007","14135869.66"
"CE","2007","50331383.303"
"RN","2007","22925563.055"
"PB","2007","22201750.121"
"PE","2007","62255687.132"
"AL","2007","17793226.69"
"SE","2007","16895690.703"
"BA","2007","109651844.006"
"MG","2007","241293053.679"
"ES","2007","60339817.272"
"RJ","2007","296767783.777"
"SP","2007","902784267.687"
"PR","2007","161581843.514"
"SC","2007","104622946.987"
"RS","2007","176615073.129"
"MS","2007","28121420.487"
"MT","2007","42687119.312"
"GO","2007","65210146.758"
"DF","2007","99945620.414"
"RO","2008","17887799.179"
"AC","2008","6730108.102"
"AM","2008","46822568.612"
"RR","2008","4889300.533"
"PA","2008","58518556.884"
"AP","2008","6764833.833"
"TO","2008","13090265.796"
"MA","2008","38486009.726"
"PI","2008","16760272.082"
"CE","2008","60098877.388"
"RN","2008","25481448.741"
"PB","2008","25696641.027"
"PE","2008","70440858.791"
"AL","2008","19476860.673"
"SE","2008","19551802.611"
"BA","2008","121507056.196"
"MG","2008","282520745.129"
"ES","2008","69870221.683"
"RJ","2008","343182067.591"
"SP","2008","1003015191.42"
"PR","2008","179263189.082"
"SC","2008","123282295.4"
"RS","2008","199494245.975"
"MS","2008","33142745.805"
"MT","2008","53386487.673"
"GO","2008","75271162.812"
"DF","2008","117571877.665"
"RO","2009","20236193.702"
"AC","2009","7386436.282"
"AM","2009","49614250.548"
"RR","2009","5593491.059"
"PA","2009","58401829.65"
"AP","2009","7404389.145"
"TO","2009","14571365.601"
"MA","2009","39854676.631"
"PI","2009","19032665.023"
"CE","2009","65703760.571"
"RN","2009","27904988.655"
"PB","2009","28718598.467"
"PE","2009","78428308.142"
"AL","2009","21234950.634"
"SE","2009","19767110.932"
"BA","2009","137074670.697"
"MG","2009","287054747.637"
"ES","2009","66763012.316"
"RJ","2009","353878135.759"
"SP","2009","1084353489.63"
"PR","2009","189991948.574"
"SC","2009","129806256.29"
"RS","2009","215863879.432"
"MS","2009","36368093.687"
"MT","2009","57294192.154"
"GO","2009","85615343.886"
"DF","2009","131487267.899"
