"uf","processos"
AC,2063
AL,13998
AM,1838
AP,534
BA,12867
CE,18592
DF,33799
ES,4742
GO,6585
MA,2606
MG,45598
MS,3334
MT,3908
PA,3791
PB,8168
PE,17975
PI,1652
PR,22741
RJ,49722
RN,8682
RO,1736
RR,490
RS,95203
SC,31309
SE,3672
SP,110409
TO,1698
