"uf","processos"
AC,453
AL,2467
AM,5381
AP,199
BA,14073
CE,4638
DF,18698
ES,5726
GO,6453
MA,1727
MG,36661
MS,4741
MT,2513
PA,4504
PB,4999
PE,6086
PI,1590
PR,19513
RJ,48119
RN,4527
RO,1838
RR,1234
RS,54499
SC,16677
SE,3726
SP,90628
TO,780
