"uf","processos"
AC,494
AL,5969
AM,2586
AP,495
BA,7292
CE,12794
DF,22616
ES,2935
GO,2300
MA,1598
MG,53495
MS,1571
MT,1229
PA,3297
PB,11733
PE,7610
PI,981
PR,32913
RJ,32278
RN,19881
RO,553
RR,541
RS,46588
SC,26544
SE,1520
SP,73178
TO,133
