"uf","processos"
AC,741
AL,8449
AM,3216
AP,304
BA,5017
CE,6823
DF,20477
ES,2901
GO,6620
MA,1521
MG,38181
MS,5117
MT,3105
PA,2223
PB,4212
PE,8939
PI,1700
PR,36527
RJ,88520
RN,4204
RO,1196
RR,509
RS,62512
SC,23847
SE,2087
SP,79250
TO,434
