"uf","processos"
"SP","17661"
"RS","11424"
"RJ","8234"
"MG","13420"
"PR","8424"
"SC","6462"
"DF","5634"
"PE","1827"
"BA","1810"
"CE","3168"
"RN","4585"
"PB","3047"
"GO","505"
"AL","1550"
"ES","682"
"MS","399"
"AM","619"
"PA","805"
"MT","315"
"SE","360"
"MA","412"
"RO","149"
"PI","235"
"AC","136"
"RR","125"
"TO","36"
"AP","130"
