"uf","processos"
"SP","14302"
"RS","13905"
"RJ","7781"
"MG","5740"
"PR","2901"
"SC","2741"
"DF","3728"
"PE","2982"
"BA","1076"
"CE","3438"
"RN","1321"
"PB","1329"
"GO","1074"
"AL","1676"
"ES","536"
"MS","613"
"AM","285"
"PA","406"
"MT","590"
"SE","547"
"MA","245"
"RO","812"
"PI","362"
"AC","464"
"RR","62"
"TO","159"
"AP","53"
