"uf","processos"
"ES","1181"
"MS","1322"
"AM","918"
"PA","838"
"MT","625"
"SE","791"
"MA","479"
"RO","377"
"PI","336"
"AC","177"
"RR","287"
"TO","140"
"AP","95"
