litigante,processos
CEF,6040
INSS,3474
TELEMAR NORTE LESTE SA,3225
EST DA BA,2287
UNIÃO,2057
FILIAL BAHIA,573
PETROBRAS,465
"FILIAL BAHIA (NOVA DENOMINAÇÃO DA TELECOMUNICAÇÕES DO RIO DE JANEIRO SA, SUCESSORA POR INCORPORAÇÃO DA TELECOMUNICAÇÕES DA BAHIA SA)",453
TELEBAHIA,281
MIN PUB DO EST DA BA,212
