litigante,processos
CEF,1375
EST DO PA,1063
UNIÃO,736
CAPAF,422
BASA,314
BANCO DA AMAZÔNIA SA,313
INSS,206
UFPA,206
ELETRONORTE,202
MIN PUB FED,182
