litigante,processos
CEF,20408
INSS,13475
UNIÃO,10016
EST DO PR,3988
BRASIL TELECOM SA,1890
CNA,1633
MUN DE CURITIBA,1179
MIN PUB DO EST DO PR,819
TELECOMUNICAÇÕES,716
BANCO DO BRASIL SA,589
