litigante,processos
EST DE MT DO SUL,1822
BANCO DO BRASIL SA,633
INSS,412
BANCO BRADESCO SA,379
BANCO ABN AMRO REAL SA,314
SUP TRIBUNAL DE JUS,308
UNIV CATÓLICA DOM BOSCO,253
BANCO ITAÚ SA,235
ENERSUL,227
MIN PUB DO EST DE MT DO SUL,217
