litigante,processos
UNIÃO,33240
INSS,16962
CEF,14020
MUN DO RJ,9358
TELEMAR NORTE LESTE SA,9020
EST DO RJ,8861
MIN PUB DO EST DO RJ,1490
IND CATAGUASES DE PAPEL LTDA,1447
BANCO CENTRAL DO BRASIL,1368
SUP TRIBUNAL DE JUS,1111
