litigante,processos
EST DE RR,840
UNIÃO,454
MIN PUB FED,238
FUNDAÇÃO NACIONAL DO ÍNDIO-FUNAI,147
MUN DE PACARAIMA,134
SINDSEPRR,115
CEF,106
ME,46
UNIÃO FED,46
SINTRAS-RR,45
