litigante,processos
UNIÃO,1075
EST DE RO,659
MIN PUB DO EST DE RO,301
CEF,175
MUN DE PORTO VELHO,127
MIN PUB FED,105
INSS,88
GOVERNADOR DO EST DE RO,67
BRASIL TELECOM SA,66
SUP TRIBUNAL DE JUS,60
