litigante,processos
EST DO TO,245
MIN PUB FED,244
CEF,128
FUNASA,93
UNIÃO,91
MUN DE PALMAS,52
INCRA,43
INSS,43
BANCO DO BRASIL SA,38
MIN PUB DO EST DO TO,28
