Origem,Num. de Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,760
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,103
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SANTA CATARINA,49
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,9
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,2
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,1
