Origem,Num. de Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,4
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.AMAZONAS E RORAIMA,2
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,1
