"uf","HELIO HIRASAWA","ALBERTO CAVALCANTE BRAGA","UNIAO","ROBERTO MAIA","PROCURADORIA-GERAL FEDERAL","PROCURADORIA-GERAL DA FAZENDA NACIONAL","CAIXA ECONOMICA FEDERAL - CEF","ALBERTO CAVALCANTE BRAGA ","PROCURADORIA-GERAL FEDERAL ","ADVOGADO-GERAL DA UNIAO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","OUTROS"
"AC","0","0","35","0","1","1","0","0","0","5","1","653"
"AL","0","0","125","0","31","32","19","0","0","58","69","1675"
"AM","0","0","93","0","20","13","8","0","0","85","35","5417"
"AP","0","0","12","0","0","0","0","0","0","9","2","420"
"BA","0","7","231","0","114","61","106","0","0","100","1153","19519"
"CE","0","0","388","0","53","88","25","0","0","224","96","3710"
"DF","0","1","1612","0","86","237","208","0","0","1326","235","24980"
"ES","0","0","195","0","27","27","6","0","0","156","136","5224"
"GO","0","0","75","0","64","38","20","0","0","18","24","7423"
"MA","0","0","60","0","13","10","2","0","0","48","3","2330"
"MG","0","3","1054","0","265","345","232","0","0","362","764","51538"
"MS","0","0","26","0","9","12","1","0","0","15","36","6151"
"MT","0","0","95","0","31","49","9","0","0","41","84","2693"
"PA","0","0","85","0","42","44","4","0","0","56","74","4874"
"PB","0","0","171","0","66","21","17","0","0","129","181","5936"
"PE","0","0","508","0","132","115","46","0","0","319","2213","11332"
"PI","0","0","68","0","8","15","8","0","0","44","14","1766"
"PR","0","0","1792","0","316","591","233","0","1","665","1779","25049"
"RJ","0","0","3774","0","436","320","119","0","0","3065","876","58692"
"RN","0","0","326","0","122","26","38","0","0","252","69","9215"
"RO","0","0","49","0","13","9","3","0","0","34","11","1949"
"RR","0","0","172","0","9","1","3","0","0","172","0","2431"
"RS","0","1","3867","0","747","1481","460","0","0","1702","4393","81794"
"SC","0","0","1658","0","246","584","356","0","0","627","1294","19318"
"SE","0","0","120","0","23","26","6","0","0","76","182","3530"
"SP","0","0","4882","0","320","2175","263","0","0","626","5052","121193"
"TO","0","0","13","0","2","3","0","0","0","13","9","1063"
