"uf","HELIO HIRASAWA","ALBERTO CAVALCANTE BRAGA","UNIAO","ROBERTO MAIA","PROCURADORIA-GERAL FEDERAL","PROCURADORIA-GERAL DA FAZENDA NACIONAL","CAIXA ECONOMICA FEDERAL - CEF","ALBERTO CAVALCANTE BRAGA ","PROCURADORIA-GERAL FEDERAL ","ADVOGADO-GERAL DA UNIAO","INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS","OUTROS"
"AC","0","12","61","0","0","0","68","0","0","61","4","1857"
"AL","0","12","504","0","12","1","2659","0","0","529","215","10066"
"AM","0","3","90","0","7","1","24","0","0","67","30","1616"
"AP","0","9","13","0","0","0","58","0","0","14","3","437"
"BA","0","136","492","0","8","0","699","0","0","204","126","11200"
"CE","0","0","681","0","38","0","3081","0","0","588","145","14059"
"DF","0","122","1666","1","19","1","2688","0","0","1491","258","27515"
"ES","0","0","148","0","1","0","163","0","0","61","38","4331"
"GO","0","72","409","0","7","0","324","0","0","292","86","5395"
"MA","0","39","90","0","5","2","171","0","0","51","15","2233"
"MG","0","715","1568","0","50","8","3415","0","0","438","779","38594"
"MS","0","0","34","0","0","2","18","0","0","30","104","3146"
"MT","0","27","67","0","14","2","126","0","0","47","33","3592"
"PA","0","53","113","0","7","0","221","0","0","93","26","3276"
"PB","0","0","281","0","36","6","889","0","0","326","294","6336"
"PE","0","0","903","0","21","11","1907","0","0","600","322","14211"
"PI","0","15","60","0","1","0","103","0","0","39","23","1411"
"PR","0","3","1435","113","17","11","509","0","0","332","1692","18629"
"RJ","0","2","1784","0","52","10","2311","0","0","1113","1539","42911"
"RN","0","0","366","0","47","2","1170","0","0","331","199","6567"
"RO","0","21","148","0","1","1","58","0","0","144","14","1349"
"RR","0","18","14","0","0","0","52","0","0","14","2","390"
"RS","0","2","2188","153","96","24","801","0","0","951","4752","86236"
"SC","0","0","1190","60","28","6","357","0","0","344","4034","25290"
"SE","0","0","129","0","11","0","41","0","0","146","105","3240"
"SP","0","9","2587","1","12","93","1765","0","0","1174","5658","99110"
"TO","0","14","16","0","20","0","43","0","0","101","8","1496"
